CIDADE;CASOS CONFIRMADOS;DATA ATUALIZAÇÃO;MORTOS;order_for_place;ESTADO
Adamantina;377;2020-10-01;11;177;SP
Adolfo;115;2020-10-01;4;153;SP
Aguaí;291;2020-10-01;6;160;SP
Águas da Prata;61;2020-10-01;3;154;SP
Águas de Lindóia;164;2020-10-01;5;181;SP
Águas de Santa Bárbara;24;2020-10-01;1;145;SP
Águas de São Pedro;54;2020-10-01;1;173;SP
Agudos;642;2020-10-01;13;181;SP
Alambari;70;2020-10-01;1;167;SP
Alfredo Marcondes;54;2020-10-01;2;134;SP
Altair;46;2020-10-01;2;137;SP
Altinópolis;217;2020-10-01;7;140;SP
Alto Alegre;66;2020-10-01;2;144;SP
Alumínio;245;2020-10-01;6;141;SP
Álvares Florence;60;2020-10-01;3;124;SP
Álvares Machado;227;2020-10-01;7;155;SP
Álvaro de Carvalho;17;2020-10-01;4;145;SP
Alvinlândia;25;2020-10-01;0;120;SP
Americana;5147;2020-10-01;156;183;SP
Américo Brasiliense;599;2020-10-01;11;172;SP
Américo de Campos;301;2020-10-01;9;146;SP
Amparo;1091;2020-10-01;24;172;SP
Analândia;36;2020-10-01;2;112;SP
Andradina;1134;2020-10-01;28;168;SP
Angatuba;290;2020-10-01;9;165;SP
Anhembi;21;2020-10-01;0;153;SP
Anhumas;70;2020-10-01;0;137;SP
Aparecida;371;2020-10-01;10;165;SP
Aparecida d'Oeste;128;2020-10-01;2;111;SP
Apiaí;145;2020-10-01;5;168;SP
Araçariguama;362;2020-10-01;8;172;SP
Araçatuba;6305;2020-10-01;145;183;SP
Araçoiaba da Serra;607;2020-10-01;11;173;SP
Aramina;107;2020-10-01;5;111;SP
Arandu;41;2020-10-01;3;166;SP
Arapeí;6;2020-10-01;1;113;SP
Araraquara;4544;2020-10-01;47;181;SP
Araras;3628;2020-10-01;68;176;SP
Arco-Íris;10;2020-10-01;0;48;SP
Arealva;112;2020-10-01;1;157;SP
Areias;54;2020-10-01;0;98;SP
Areiópolis;111;2020-10-01;3;160;SP
Ariranha;145;2020-10-01;6;133;SP
Artur Nogueira;964;2020-10-01;21;174;SP
Arujá;1915;2020-10-01;80;186;SP
Aspásia;41;2020-10-01;0;120;SP
Assis;1269;2020-10-01;23;181;SP
Atibaia;1887;2020-10-01;59;180;SP
Auriflama;344;2020-10-01;10;156;SP
Avaí;86;2020-10-01;1;165;SP
Avanhandava;198;2020-10-01;4;145;SP
Avaré;666;2020-10-01;17;175;SP
Bady Bassitt;789;2020-10-01;20;175;SP
Balbinos;96;2020-10-01;3;103;SP
Bálsamo;495;2020-10-01;20;134;SP
Bananal;140;2020-10-01;1;146;SP
Barão de Antonina;20;2020-10-01;0;133;SP
Barbosa;110;2020-10-01;1;143;SP
Bariri;767;2020-10-01;15;169;SP
Barra Bonita;820;2020-10-01;21;159;SP
Barra do Chapéu;47;2020-10-01;0;103;SP
Barra do Turvo;118;2020-10-01;4;174;SP
Barretos;4366;2020-10-01;126;176;SP
Barrinha;715;2020-10-01;28;160;SP
Barueri;6514;2020-10-01;370;190;SP
Bastos;70;2020-10-01;2;132;SP
Batatais;656;2020-10-01;20;175;SP
Bauru;10765;2020-10-01;197;183;SP
Bebedouro;1148;2020-10-01;26;176;SP
Bento de Abreu;39;2020-10-01;0;116;SP
Bernardino de Campos;102;2020-10-01;3;147;SP
Bertioga;1806;2020-10-01;42;148;SP
Bilac;90;2020-10-01;2;168;SP
Birigui;2133;2020-10-01;68;177;SP
Biritiba-Mirim;402;2020-10-01;28;160;SP
Boa Esperança do Sul;177;2020-10-01;6;133;SP
Bocaina;133;2020-10-01;3;155;SP
Bofete;146;2020-10-01;3;130;SP
Boituva;994;2020-10-01;17;177;SP
Bom Jesus dos Perdões;328;2020-10-01;3;158;SP
Bom Sucesso de Itararé;7;2020-10-01;0;78;SP
Borá;3;2020-10-01;0;119;SP
Boracéia;88;2020-10-01;1;137;SP
Borborema;213;2020-10-01;6;159;SP
Borebi;45;2020-10-01;1;158;SP
Botucatu;2359;2020-10-01;44;179;SP
Bragança Paulista;3097;2020-10-01;72;176;SP
Braúna;94;2020-10-01;7;115;SP
Brejo Alegre;62;2020-10-01;4;147;SP
Brodowski;507;2020-10-01;18;184;SP
Brotas;129;2020-10-01;2;140;SP
Buri;274;2020-10-01;6;138;SP
Buritama;294;2020-10-01;12;168;SP
Buritizal;56;2020-10-01;3;123;SP
Cabrália Paulista;96;2020-10-01;0;113;SP
Cabreúva;1163;2020-10-01;39;161;SP
Caçapava;1458;2020-10-01;50;175;SP
Cachoeira Paulista;345;2020-10-01;13;183;SP
Caconde;109;2020-10-01;1;155;SP
Cafelândia;279;2020-10-01;4;109;SP
Caiabu;37;2020-10-01;2;172;SP
Caieiras;2151;2020-10-01;98;187;SP
Caiuá;58;2020-10-01;1;118;SP
Cajamar;1550;2020-10-01;77;184;SP
Cajati;1535;2020-10-01;26;160;SP
Cajobi;208;2020-10-01;6;153;SP
Cajuru;468;2020-10-01;10;169;SP
Campina do Monte Alegre;79;2020-10-01;0;138;SP
Campinas;31452;2020-10-01;1242;190;SP
Campo Limpo Paulista;1243;2020-10-01;67;167;SP
Campos do Jordão;741;2020-10-01;28;170;SP
Campos Novos Paulista;100;2020-10-01;1;124;SP
Cananéia;189;2020-10-01;7;165;SP
Canas;49;2020-10-01;2;146;SP
Cândido Mota;310;2020-10-01;4;148;SP
Cândido Rodrigues;38;2020-10-01;0;131;SP
Canitar;43;2020-10-01;1;89;SP
Capão Bonito;663;2020-10-01;18;168;SP
Capela do Alto;263;2020-10-01;2;162;SP
Capivari;1215;2020-10-01;32;134;SP
Caraguatatuba;2278;2020-10-01;96;177;SP
Carapicuíba;7635;2020-10-01;348;192;SP
